LEFT; 8; 2 2 2 2 2 0 0 0|4 0 2 2 2 0 2 8|16 4 0 2 0 256 4 2|2 8 2 8 8 0 0 4|0 0 0 2 0 0 8 2|0 0 2 0 0 2 4 0|0 4 4 2 2 8 2 0|0 2 2 0 2 0 0 0
RIGHT; 8; 8 0 16 0 32 0 0 0|0 0 0 2 4 2 4 8|0 0 8 8 32 8 0 16|0 16 0 2 2 2 8 0|4 2 2 2 2 2 2 2|4 2 2 0 0 4 0 0|0 8 2 8 0 32 0 0|0 4 0 2 2 2 0 0
RIGHT; 5; 0 2 0 2 0|0 0 0 0 4|8 2 64 4 64|2 0 0 0 4|2 0 2 4 0
DOWN; 7; 4 0 16 2 4 0 4|2 0 0 0 0 8 2|0 2 32 2 0 2 2|2 0 16 2 8 2 2|2 2 2 2 4 2 0|0 2 0 2 0 8 8|8 0 2 32 4 16 8
UP; 9; 0 2 4 16 0 0 0 8 4|2 0 2 4 4 16 2 8 16|0 2 0 0 4 16 8 4 2|4 16 0 8 4 0 2 2 0|0 0 0 0 4 0 4 0 0|4 0 64 0 0 0 0 2 0|2 2 4 16 2 0 2 4 0|0 0 0 4 4 2 0 4 2|0 2 8 4 0 0 0 2 0
LEFT; 10; 0 2 0 8 16 2 2 8 0 8|4 0 8 16 0 4 0 2 0 0|0 2 0 0 4 0 2 2 2 4|2 2 4 0 4 4 0 2 2 0|4 2 0 0 0 0 256 4 2 0|4 0 8 2 32 0 8 0 0 8|32 128 0 0 64 0 0 0 0 4|0 0 4 2 0 0 8 0 0 4|4 0 2 8 4 2 0 2 4 2|2 0 2 8 0 2 2 0 2 0
DOWN; 5; 0 0 2 0 2|32 0 0 0 2|0 4 0 0 8|2 2 2 2 2|4 0 4 0 4
LEFT; 8; 8 0 4 2 4 2 0 16|0 0 0 2 4 32 2 2|8 0 2 2 0 2 0 2|2 8 2 4 2 2 2 0|0 0 2 0 0 2 4 0|0 0 0 4 8 4 2 4|0 0 4 2 4 0 2 0|2 2 2 0 2 0 2 0
RIGHT; 8; 0 4 2 2 0 2 0 0|16 0 2 0 8 8 2 2|32 2 0 0 16 0 2 0|2 0 0 8 16 2 0 0|0 0 0 2 0 2 2 2|2 8 0 0 0 2 8 2|0 2 2 4 0 8 0 64|2 64 0 0 0 64 4 0
UP; 7; 4 4 0 0 16 4 2|0 16 0 4 2 16 8|2 4 0 2 8 0 2|2 0 4 4 8 2 0|4 4 0 4 0 2 0|0 0 2 2 2 2 4|0 4 0 0 0 0 0
LEFT; 7; 0 4 2 4 0 0 16|0 2 0 0 4 4 2|0 0 8 32 2 8 2|0 0 0 8 0 2 0|2 2 0 8 16 4 0|0 2 4 2 2 2 0|0 2 4 2 0 0 2
LEFT; 8; 4 0 0 0 0 2 16 0|0 2 8 8 2 0 0 4|32 4 32 0 2 8 0 0|4 2 4 16 2 0 0 16|2 2 0 0 2 0 4 0|2 2 4 0 4 2 2 2|0 0 8 0 4 4 0 4|2 2 0 2 32 2 2 0
RIGHT; 4; 2 4 2 0|2 8 0 0|2 0 2 32|0 0 4 8
RIGHT; 6; 64 0 0 64 2 2|2 0 0 8 8 8|2 2 4 0 4 0|2 8 4 0 0 2|2 2 16 0 0 0|2 0 0 0 2 0
LEFT; 10; 2 4 0 4 0 0 2 2 4 0|2 0 8 2 0 0 0 8 16 2|0 4 4 32 4 4 0 2 4 4|0 0 0 0 4 2 2 2 2 0|0 4 0 8 2 4 16 0 2 0|4 2 2 0 0 0 2 16 0 2|0 0 16 4 0 16 0 0 0 0|2 2 8 0 4 8 0 4 4 64|4 0 4 2 0 2 8 0 16 64|4 2 0 16 8 2 0 2 0 16
